sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
TCGA-34-7107-01,-1.884,-1.884,0.099,4.051,4.23,8.888,5.059,12.56,1.642,5.745,10.93,6.938,4.598,3.94,8.175,8.358,5.815,0.8488,3.129
TARGET-20-PASMHY-03,2.328,-2.932,5.082,2.305,2.934,8.541,5.92,11.99,2.637,6.548,12.14,5.912,2.858,-0.0574,7.355,8.249,4.5,-3.816,2.783
GTEX-ZUA1-0011-R8b-SM-51MST,0.5763,2.671,2.018,2.131,3.429,9.192,2.886,11.13,-0.7588,3.009,8.878,6.925,3.871,3.086,5.841,6.332,4.5,-1.431,1.926
GTEX-139TU-0226-SM-5J1NM,-4.608,0.0854,3.398,-1.639,3.926,8.745,5.424,10.7,1.945,6.339,11.5,6.928,4.732,3.877,7.457,7.965,6.776,-6.506,2.566
GTEX-146FH-2426-SM-5Q5EW,-1.318,1.93,3.536,2.436,3.99,9.5,5.271,10.69,3.178,6.121,10.85,7.348,5.378,3.713,7.526,8.203,6.159,-1.552,2.628
GTEX-ZTSS-1126-SM-5985O,-1.552,-0.3383,2.789,5.834,3.848,9.189,4.891,10.25,2.088,5.845,10.37,6.806,4.577,3.622,7.397,7.603,6.575,-2.053,1.896
TCGA-CV-6955-01,-1.283,-2.826,-0.013,-2.114,3.699,7.328,3.29,11.62,1.953,5.367,9.964,7.055,3.908,4.455,7.044,7.732,6.728,8.241,-0.0425
TARGET-10-PAPBZK-09,-1.732,-3.458,-2.932,-1.884,2.551,8.433,3.192,10.23,7.173,5.426,12.36,5.747,3.658,0.2277,6.288,7.221,4.302,-9.966,0.7999
TCGA-P3-A5Q6-01,-2.826,0.4125,-1.086,-3.308,5.066,8.056,3.251,13.1,2.412,5.799,11.44,7.084,3.071,4.555,7.785,7.456,6.877,-3.047,-0.4719
GTEX-X5EB-0626-SM-46MVQ,-3.626,-2.635,-0.4921,0.5568,3.157,9.193,3.739,10.92,-0.3566,4.787,9.449,6.687,5.104,2.354,6.356,6.989,5.513,-1.595,1.674
GTEX-13NYB-0726-SM-5MR4J,1.008,1.064,4.368,0.688,3.293,9.558,4.942,10.18,3.03,5.658,11.11,7.223,4.542,3.041,7.694,7.681,6.386,-1.595,2.186
GTEX-ZYVF-2526-SM-5E45C,-1.248,-0.7588,5.619,-2.245,3.689,8.575,4.856,10.37,-0.1828,5.393,10.5,6.971,4.143,3.237,6.913,7.223,6.024,-0.1828,2.646
TCGA-D7-A4Z0-01,1.022,-0.1345,1.357,3.926,3.88,7.872,4.29,10.36,4.223,5.425,10.28,6.158,4.339,2.854,6.649,7.366,6.557,-3.626,2.05
TCGA-24-2293-01,1.496,1.118,-0.2498,-0.5973,4.319,7.731,5.564,12.04,3.651,6.661,10.81,6.717,5.223,5.64,7.694,7.959,6.789,-2.727,2.436
