sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-N7MS-0225-SM-4E3HO,3.494,0.537,4.552,3.278,3.493,8.773,5.602,11.8,3.964,5.882,11.15,6.853,5.016,4.517,7.508,7.566,6.328,3.365,1.628
TCGA-FK-A3SE-01,-1.639,4.349,4.12,-1.214,4.442,9.1,4.018,10.82,3.799,5.66,11.56,7.359,5.604,3.796,7.708,8.28,6.749,-5.012,3.191
GTEX-ZZPU-0526-SM-5E44U,-2.466,-2.826,3.072,1.888,4.072,9.158,4.404,10.63,1.647,6.073,10.54,7.058,4.694,3.963,7.531,8.003,6.7,-1.884,2.696
GTEX-11ZVC-0126-SM-5986G,2.278,0.3115,4.673,3.983,2.658,9.547,5.212,9.891,2.628,5.779,10.87,6.887,4.943,3.612,7.899,7.396,6.424,-1.181,3.154
TCGA-29-1762-01,4.616,-0.7834,-1.056,4.368,3.931,7.987,6.364,12.54,1.138,6.147,10.6,5.805,3.987,4.949,8.303,8.523,7.595,-2.114,2.095
TCGA-E2-A14X-01,-0.5125,-2.178,4.089,7.652,4.11,8.662,4.344,10.38,4.16,5.305,12.27,5.935,4.596,5.17,7.543,7.512,6.721,3.24,0.9419
TCGA-97-8547-01,-1.431,-1.552,1.556,0.9789,5.758,8.846,3.986,12.06,2.211,5.725,12.07,7.592,4.692,4.624,7.173,7.905,6.206,-4.293,2.257
TCGA-DX-A48U-01,-9.966,-2.635,0.6239,1.979,3.825,9.752,5.288,12.17,3.825,5.251,11.52,7.494,5.39,3.738,7.739,8.503,5.412,-5.574,3.343
TCGA-KP-A3W4-01,-0.2671,0.4657,1.614,6.5,5.324,9.018,5.615,11.17,3.55,5.704,11.27,7.61,4.484,4.399,8.23,8.244,6.341,-3.308,1.362
TCGA-BJ-A45E-01,-1.117,-2.727,-0.1345,0.058,3.053,8.166,2.121,10.05,2.808,4.45,9.949,5.801,3.889,2.848,6.504,6.891,5.18,-6.506,-0.1031
GTEX-ZDTS-0001-SM-4WAXW,-9.966,-3.626,-5.012,-5.574,4.878,8.687,2.227,12.98,4.152,5.528,11.22,7.056,4.274,5.113,8.147,8.547,6.616,-5.012,0.7058
GTEX-13OVJ-0011-R1b-SM-5L3I6,1.125,-0.6193,2.611,0.9191,3.491,8.553,5.48,11.7,1.6,5.257,9.901,6.861,3.942,3.299,6.606,7.306,5.35,1.651,0.2277
GTEX-13CF3-0626-SM-5J1NO,-3.816,-2.727,-0.3201,-0.7346,3.86,8.868,4.676,11.36,-1.283,6.608,10.93,7.58,4.73,3.577,7.333,8.336,6.501,-1.47,3.935
TCGA-BR-8080-01,0.7493,2.328,3.178,5.243,4.155,7.649,4.832,10.83,5,5.742,11.12,6.097,4.425,3.139,7.345,7.912,6.214,-3.458,3.253
TCGA-P3-A6T4-01,-1.831,1.816,-0.4921,-1.938,4.857,7.459,2.17,10.41,2.125,6.096,11.12,7.303,4.834,5.172,7.71,7.835,6.804,5.323,1.132
TCGA-AB-2837-03,1.092,-2.053,3.105,1.749,4.937,8.373,3.236,11.7,3.133,6.098,10.36,6.663,6.017,4.413,7.988,8.266,6.471,0.1257,3.783
GTEX-132QS-1826-SM-5IFFN,0.3231,-0.3022,3.763,2.768,3.177,8.162,4.805,8.642,2.111,5.206,10.21,6.232,4.547,3.416,6.851,6.781,6.122,-2.178,0.7493
GTEX-13FTW-0426-SM-5K7X2,-5.012,-0.8084,1.745,-3.308,4.254,8.263,5.056,9.706,0.6608,5.945,10.4,6.776,3.986,3.773,7.11,7.848,6.24,-4.608,2.101
GTEX-13O3P-1026-SM-5N9E7,-3.047,-2.548,2.88,1.078,3.498,9.208,4.641,10.83,2.393,6.608,10.58,7.014,4.706,4.093,7.545,8.181,6.527,-5.574,1.896
TCGA-CG-5734-11,-0.013,-1.781,0.8961,2.611,3.43,8.153,2.911,11.05,3.281,5.417,10.04,5.646,4.138,2.414,5.972,7.181,6.397,-3.816,0.7407
TCGA-BH-A8FZ-01,-1.781,2.488,5.098,4.243,5.114,8.304,4.651,11.38,3.792,6.367,11.73,6.947,4.996,5.024,7.646,8.354,6.799,-2.548,1.078
TCGA-29-1783-01,1.516,-0.1993,-1.056,1.762,3.566,7.608,5.243,12.55,2.331,6.557,12.01,5.222,5.441,4.183,7.275,8.214,6.269,-1.47,3.266
TCGA-HC-7745-11,-3.171,0.7832,2.727,2.236,3.937,9.259,4.738,10.9,2.506,5.542,10.76,7.037,5.14,3.237,7.238,7.651,6.462,-5.574,3.384
TCGA-S3-AA17-01,-0.013,3.714,2.808,-1.685,4.191,9.479,4.531,11.34,3.397,5.813,11.35,7.019,4.275,3.436,7.705,7.831,6.19,-5.574,1.783
TCGA-A8-A09Q-01,-3.171,3.986,1.239,1.151,4.706,8.142,1.527,10.44,2.057,5.676,12.7,7.593,4.925,4.765,7.827,7.508,6.683,-4.608,2.036
TCGA-AC-A2FF-01,-0.2328,0.6608,4.564,3.94,4.565,7.863,3.853,10.88,3.839,5.595,11.41,6.839,5.187,3.868,7.698,7.715,6.762,-1.938,2.141
GTEX-Y9LG-0126-SM-5Q59W,-1.639,4.168,-2.548,-2.315,4.214,9.163,5.316,10.44,1.934,5.289,10.23,7.076,4.871,3.349,7.177,7.889,7.055,-6.506,0.7916
TCGA-ZJ-AAXA-01,0.9568,-2.932,-0.0277,-2.466,4.489,8.848,4.733,11.51,2.826,5.551,11.54,7.246,5.705,5.368,8.297,8.344,7.015,5.178,-0.8339
GTEX-139TS-0011-R2b-SM-5J1MX,1.34,-2.114,0.3796,1.043,3.027,8.018,3.022,9.942,0.099,3.898,10.06,6.202,3.408,3.032,5.947,5.944,4.605,-1.552,-0.6416
TCGA-BH-A0BW-11,-0.7588,-0.1345,6.108,6.95,4.37,7.806,4.885,10.71,5.667,5.473,11.03,6.698,5.069,4.249,7.687,7.793,6.203,2.015,1.516
GTEX-1192X-1526-SM-5H11I,-2.245,1.264,2.373,-1.884,3.732,8.573,5.199,10.95,3.284,6.558,11.31,6.882,4.511,3.797,7.733,8.233,5.929,-2.388,1.637
TCGA-FR-A8YC-06,3.352,-4.608,-2.114,0.2762,5.095,8.028,4.686,11.8,0.5069,5.626,11.45,7.134,4.497,4.719,7.194,7.705,5.856,-9.966,1.209
TCGA-4N-A93T-01,-4.035,-3.626,0.7579,6.389,5.333,8.208,5.09,11.49,4.047,5.649,11.62,7.549,4.159,4.692,7.719,7.45,5.675,-5.574,1.138
TCGA-W5-AA30-01,-0.7588,-2.178,0.3346,5.774,4.934,8.648,5.384,10.6,1.59,4.996,11.21,6.848,4.257,3.783,7.675,8.195,5.712,-2.245,2.251
GTEX-PWN1-1426-SM-48TDF,-1.51,-0.5973,2.151,5.011,3.615,8.431,4.942,10.62,1.417,5.321,10.46,6.196,4.255,3.446,7.219,6.924,6.287,-3.047,1.299
GTEX-131XE-1426-SM-5HL7V,-1.318,-1.431,1.762,1.328,3.488,8.719,3.315,11.08,1.532,6.048,10.61,6.588,4.173,4.741,7.085,7.924,7.096,9.142,-0.013
TARGET-20-PATELT-03,5.406,-0.4921,1.6,6.014,2.778,8.015,1.043,11.82,1.444,6.461,12.23,6.048,4.812,2.111,7.633,8.155,4.747,-2.826,-2.315
GTEX-XBEW-0002-SM-4AT5O,-9.966,-5.574,-3.308,-2.245,4.708,8.754,-0.1665,13.18,6.157,5.554,11.52,6.448,4.886,4.844,8.048,8.501,6.354,-5.012,0.0014
TCGA-2K-A9WE-01,-4.608,-2.178,1.396,4.512,4.166,8.191,4.052,12.2,1.749,4.907,10.39,7.152,4.378,3.892,7.043,7.801,6.07,-4.035,1.092
GTEX-POMQ-2126-SM-2S1OJ,-3.816,-2.178,2.705,0.0014,3.373,8.4,4.695,10.54,-1.283,6.668,11.06,7.378,5.456,3.788,7.598,8.946,6.545,-5.574,4.655
TCGA-61-1917-01,-0.6643,0.6239,-1.639,-0.5973,3.456,8.539,4.493,12.45,2.42,7.113,11.29,5.253,4.432,4.18,7.609,7.847,7.225,-2.635,0.8488
TCGA-H2-A421-01,-0.6643,-0.9132,-0.4719,-3.816,3.776,8.839,1.609,10.34,3.515,5.074,10.85,6.74,4.538,3.26,7.196,7.494,5.89,-9.966,1.753
TARGET-30-PASWIJ-01,5.397,2.248,1.581,-0.7588,5.161,7.781,4.123,10.77,4.95,4.874,10.75,8.028,3.932,4.129,7.452,7.217,5.895,-9.966,4.286
GTEX-S4Q7-0226-SM-4AD5O,-5.574,-0.013,-2.114,-9.966,4.403,9.375,4.59,10.56,1.923,5.572,9.942,7.068,4.965,3.546,7.521,8.239,7.132,-2.245,1.762
GTEX-144GN-2326-SM-5LU4F,-3.171,-1.318,4.547,1.736,3.813,8.679,4.256,11.39,1.252,6.091,10.89,7.225,4.642,4.124,7.402,7.722,6.3,5.804,2.251
TCGA-KN-8423-01,3.721,-0.5973,8.77,-0.0425,3.381,9.658,5.947,11.63,2.236,5.716,10.5,6.129,4.881,2.956,6.957,7.395,6.173,-9.966,3.791
GTEX-R55E-0826-SM-2TC5M,2.351,1.412,4.628,4.415,3.562,9.732,5.241,10.18,3.074,5.727,11.18,7.227,5.372,3.596,7.625,7.467,6.381,-2.826,3.891
TCGA-DJ-A3UZ-01,-0.5543,-1.831,3.653,1.783,4.073,9.005,4.355,10.3,3.268,5.575,11.61,7.425,5.348,3.911,7.552,7.866,6.254,-2.548,2.77
GTEX-14DAR-1426-SM-5RQIR,-0.1504,-0.7346,1.614,4.656,2.958,8.306,3.89,10.72,2.642,5.124,9.87,6.356,4.315,2.556,7.405,7.419,6.678,-2.245,0.688
TCGA-L5-A4OF-01,2.47,-2.114,1.132,4.428,4.918,7.972,4.894,11.28,3.512,6.033,10.23,7.059,5.186,4.469,8.012,8.53,6.531,-1.392,4.241
GTEX-XPVG-0626-SM-4B65B,-2.635,-1.392,-0.2498,-0.5756,3.86,9.695,5.096,10.93,3.787,5.925,10.79,7.192,4.74,3.718,7.846,7.955,6.797,-4.608,1.322
TCGA-EK-A2RO-01,1.642,-2.932,1.008,-0.2328,4.596,8.707,5.043,12.44,2.115,5.621,11.32,7.477,4.599,4.946,8.431,8.141,6.827,3.376,-0.6873
GTEX-1399S-0326-SM-5IFFS,-3.816,-2.932,0.4016,1.609,3.039,7.413,4.03,7.584,2.504,4.557,10.43,5.745,3.283,3.055,5.741,7.138,5.399,-1.595,0.5763
TCGA-VQ-A91V-01,2.278,-3.816,-0.0277,4.907,4.999,7.663,5.07,10.07,3.156,6.026,11.16,7.003,5.263,2.919,7.381,8.112,6.957,-0.3566,2.995
TCGA-77-6845-01,0.0718,-2.548,2.091,-3.458,5.504,6.586,1.812,13.67,0.9038,6.055,11.07,7.421,3.46,5.024,8.745,8.575,6.049,0.7146,1.892
TCGA-B7-A5TI-01,1.637,-1.086,0.7916,6.691,4.84,7.856,5.14,11.34,3.761,5.925,11.11,6.733,4.451,4.114,7.871,7.803,7.351,-0.6643,1.623
GTEX-11ZVC-2526-SM-5FQTE,-0.7108,-0.4325,4.389,1.47,3.388,8.806,4.92,11.52,2.414,5.934,11.47,7.047,4.973,4.24,7.57,7.514,6.755,5.638,1.506
GTEX-WYJK-1626-SM-3NM9J,1.357,-1.431,2.764,1.949,3.962,9.297,5.098,9.984,2.838,5.933,10.86,7.568,5.041,3.92,7.93,7.712,6.485,-1.732,3.578
TCGA-HC-7078-01,-4.608,3.649,0.9568,0.6608,5.052,8.429,4.414,10.23,1.423,5.281,12.18,6.664,4.436,3.718,6.904,7.265,6.695,0.9862,2.816
GTEX-13PVR-0426-SM-5RQK2,-2.178,-0.9132,3.863,1.71,3.634,8.437,5.215,9.86,1.852,5.972,11.53,7.326,5.129,4.819,7.553,7.553,6.587,6.091,1.27
GTEX-1339X-1126-SM-5J2OI,-1.552,-2.315,4.527,1.385,4.615,8.847,4.774,11.1,0.3231,6.404,10.74,7.604,4.743,4.542,7.172,8.074,6.495,4.949,2.293
TCGA-CN-4723-01,-0.8599,-0.6416,0.7748,-2.178,4.505,7.615,4.305,13.07,1.884,5.801,11,7.484,4.435,4.92,7.972,7.703,6.615,3.951,1.692
GTEX-13QIC-1426-SM-5LU4V,2.789,-1.685,1.465,-0.4521,3.847,9.584,6.651,10.77,3.312,6.496,10.85,7.247,5.074,4.224,8.02,8.04,6.303,2.088,2.671
GTEX-RU72-0226-SM-46MUD,-1.117,-3.816,-0.4325,-0.8863,4.082,9.066,4.515,12.12,0.8327,6.379,10.92,7.381,4.575,4.184,7.679,8.314,6.495,-2.548,3.702
TARGET-20-PANLIZ-09,0.1388,-5.574,2.778,0.8726,1.923,7.584,-0.5125,11.19,3.852,5.715,12.67,5.839,4.135,1.406,6.698,7.426,4.541,-6.506,2.248
TCGA-BP-5169-01,-6.506,-4.293,-2.178,-3.626,3.175,7.762,2.561,11.81,2.529,4.132,10.55,5.953,3.156,2.604,6.137,6.479,5.351,-4.608,-0.4521
GTEX-S32W-1326-SM-4AD5Q,-1.248,0.434,0.4125,2.749,3.95,8.816,5.454,10.56,5.678,6.05,10.82,7.38,5.093,4.256,7.752,7.622,6.632,-0.8863,1.896
GTEX-X585-0226-SM-4QAS2,-0.0277,-1.283,2.998,1.164,3.58,8.696,4.464,10.98,2.189,6.019,11.58,7.239,4.652,4.143,7.537,7.729,6.317,7.767,0.5271
GTEX-ZTSS-0826-SM-5985L,-1.552,-2.932,5.524,-1.149,4.126,9.762,5.126,10.65,0.0158,6.37,10.72,7.895,5.123,3.636,7.638,8.087,6.333,-2.727,3.018
GTEX-13JVG-1326-SM-5N9F8,-3.047,-0.8599,-3.458,-1.994,0.9268,6.625,2.524,8.165,-1.639,3.835,7.611,4.09,2.039,0.8246,4.946,4.72,3.47,-6.506,-1.149
TARGET-20-PANLIZ-04,-4.293,-3.308,5.248,-3.626,2.978,5.897,0.7493,11.61,2.454,5.595,12.72,5.732,3.944,2.373,6.726,7.529,5.098,-4.608,0.2762
K-562-SM-5K7ZB,-9.966,-9.966,1.795,-3.816,5.672,8.445,-1.781,12.08,3.125,5.277,11.21,6.968,4.876,5.456,8.547,8.355,7.157,-2.114,-2.388
TCGA-G3-A3CI-01,-6.506,-1.831,-1.938,-5.574,3.844,7.462,4.971,10.48,-0.394,3.894,9.057,6.092,4.043,2.334,6.244,7.38,5.934,-9.966,-0.8339
TCGA-DU-7019-01,2.554,2.236,1.537,2.975,4.007,7.948,5.226,11.78,1.105,5.543,11.05,7.436,4.344,3.991,7.128,7.394,5.929,2.511,1.396
TCGA-BA-5152-01,-3.047,-1.552,-0.7834,-4.293,4.629,6.95,4.233,12.16,2.141,5.797,10.95,7.16,2.862,4.544,7.633,8.344,7.257,5.884,-1.318
TCGA-TN-A7HJ-01,-0.7834,-3.308,-0.1665,1.6,4.925,8.352,3.534,12.22,1.486,5.67,10.89,7.159,3.96,4.744,7.679,7.73,7.002,7.816,0.0014
TCGA-AN-A0AM-01,-2.114,1.964,-0.1828,3.579,6.366,9.049,4.42,11.97,3.335,5.419,11.21,8.048,4.253,4.839,7.785,7.888,7.063,-0.2498,0.9642
TCGA-CC-A7II-01,-2.466,-6.506,-2.245,2.692,5.275,7.871,6.186,11.86,1.795,5.085,12.32,7.138,3.02,4.89,8.277,6.661,5.868,-9.966,0.7664
TCGA-S9-A7R4-01,3.433,2.947,1.299,3.414,4.071,8.215,4.739,10.79,0.9115,5.568,10.91,6.933,4.425,4.119,7.445,7.332,5.644,1.092,1.941
TCGA-IS-A3K7-01,-6.506,-0.9686,-0.0574,-5.574,5.114,8.995,3.73,12.68,4.81,5.562,10.25,7.776,3.432,3.869,7.886,7.066,6.01,-9.966,0.9642
TARGET-20-PANTPW-09,1.614,-5.574,0.1648,2.926,1.496,6.186,1.015,11.32,2.004,4.363,12.03,4.342,2.161,0.5859,5.767,6.452,3.83,-9.966,-0.8863
TCGA-S9-A7J3-01,2.953,-0.1345,2.414,0.9862,4.961,8.967,4.453,11.33,0.4865,5.867,10.54,8.029,4.29,4.889,7.602,7.669,5.402,2.39,2.37
TCGA-MY-A913-01,-1.595,-1.149,-1.552,-3.458,4.932,7.863,5.293,12.31,2.755,6.011,11.14,7.413,4.524,5.544,7.881,8.358,6.48,2.425,1.84
TARGET-10-PANRYM-09,-2.178,-5.012,-5.012,3.998,2.488,9.275,6.197,11.26,3.825,6.172,11.41,6.178,5.48,3.399,7.411,7.923,4.397,0.0854,2.387
TARGET-20-PASCGR-04,-4.035,-2.826,1.305,3.668,2.131,6.238,1.501,9.654,2.348,4.207,10.35,5.059,3.865,1.345,5.99,6.949,4.446,-4.293,-0.0574
TARGET-20-PASCGR-03,-1.781,-1.685,3.491,6.219,1.595,7.841,0.9191,10.94,3.237,6.677,12.02,5.184,3.101,0.7233,7.091,7.806,5.246,-2.727,-1.639
GTEX-R55D-1026-SM-3GAEQ,-1.781,-2.178,2.966,2.991,3.609,8.277,4.781,11.11,0.4447,6.023,10.65,7.485,4.716,3.25,7.477,7.928,6.532,-4.608,3.144
TARGET-30-PAIVHE-01,5.079,3.025,1.19,-1.732,4.922,9.483,5.171,11.84,4.709,6.863,10.94,8.404,4.339,4.249,8.272,7.764,5.816,-1.117,3.497
TCGA-ZG-A9L2-01,-2.548,3.605,0.7493,3.055,5.174,9.293,4.556,10.63,3.366,5.558,11.6,7.377,4.829,4.099,7.909,7.992,6.248,-2.826,2.651
TCGA-BT-A20Q-11,-4.608,-2.388,2.015,-0.0277,3.829,9.06,3.772,11.45,-0.0425,5.691,10.84,7.31,5.263,3.319,6.949,8.305,5.757,-9.966,3.283
GTEX-1399S-0926-SM-5PNVQ,-2.727,-0.5973,1.979,-2.178,4.297,8.31,4.423,11.22,2.478,6.116,11.08,7.173,4.261,2.989,6.639,8.063,6.603,-5.012,2.568
GTEX-11OF3-0011-R6b-SM-57WBG,0.1776,-0.7834,2.488,0.3685,3.053,8.892,4.829,10.96,-1.318,3.47,9.61,6.706,4.56,3.111,6.187,6.266,4.544,0.9038,0.4016
GTEX-13FHO-0011-R3b-SM-5K7YA,-0.7834,0.24,2.177,1.774,2.331,9.643,5.332,11.05,0.1903,4.313,9.339,7.024,4.182,2.511,6.224,6.284,5.249,0.8726,0.3573
TCGA-ND-A4WA-01,5.609,7.494,-0.6873,3.363,5.734,8.677,5.863,11.38,3.531,5.328,11.87,7.983,4.309,4.286,8.021,7.965,5.941,-5.574,1.642
TCGA-J7-8537-01,-0.4921,-2.388,0.2277,-2.053,6.096,7.793,3.889,12.59,2.546,4.559,10.75,7.558,3.683,4.709,7.441,8.886,6.437,-4.035,0.9716
GTEX-13S7M-0005-SM-5NQ76,-4.293,-2.178,-2.315,0.03,1.293,6.94,2.449,10.15,2.609,5.017,8.997,4.428,4.183,1.406,6.505,7.312,4.155,-3.816,-4.035
GTEX-RU72-0011-R5A-SM-2TF6U,-0.1828,-1.214,1.926,1.449,3.26,8.66,4.981,10.81,0.547,4.222,9.304,6.762,4.873,2.945,6.56,6.297,4.797,1.692,0.6969
TCGA-VQ-AA6K-01,-0.9971,0.2762,2.414,6.907,4.502,7.789,5.687,11.85,3.79,5.432,10.41,6.351,4.797,3.045,7.788,7.614,6.239,-0.9406,3.195
TCGA-10-0938-01,0.9115,-0.8863,-0.3201,2.496,4.134,7.775,5.168,12.79,2.305,4.634,13.05,5.516,4.287,3.45,7.298,7.603,6.234,-0.8863,0.0854
TCGA-30-1718-01,3.242,2.111,-1.732,5.848,3.87,8.253,5.993,11.6,1.322,6.123,12.01,5.206,4.306,4.282,7.88,7.708,7.484,-3.458,1.736
TCGA-D8-A1XD-01,3.384,1.892,2.118,0.6608,4.298,8.742,4.022,12.03,2.382,5.719,11.01,7.008,5.851,5.409,8.083,8.142,6.718,-3.458,3.862
GTEX-14ICL-0006-SM-5SIAB,-3.047,-4.293,-1.51,-2.315,3.113,7.849,2.924,9.854,4.423,4.847,9.845,5.087,5.014,2.128,6.589,7.482,5.81,-5.012,-1.884
TCGA-KK-A7B2-01,-5.012,0.5666,0.346,-0.2498,5.349,9.315,4.94,10.88,2.157,5.712,11.71,7.588,4.058,4.124,7.744,7.559,6.413,-0.8599,1.491
GTEX-PWN1-0626-SM-48TDT,-1.994,-3.458,1.614,-3.816,3.383,8.454,4.124,11.51,1.766,5.769,10.44,6.94,4.036,4.504,7.335,7.696,7.205,9.967,0.6239
TCGA-TM-A84L-01,2.595,5.094,1.938,2.233,3.865,8.107,5.152,11.11,1.532,5.716,10.45,7.621,4.475,4.39,7.351,7.517,5.763,2.337,1.571
GTEX-11P81-2526-SM-5GU6H,-9.966,-2.727,-3.047,-0.4921,3.394,8.75,4.563,12.68,-2.466,4.817,9.818,7.372,5.2,2.736,6.053,8.726,5.376,-2.178,1.84
TCGA-24-2280-01,2.816,-0.8599,0.044,1.93,4.635,7.87,5.274,13,3.022,5.716,10.82,6.798,4.986,4.697,7.858,7.866,6.326,0.8408,2.789
TCGA-DJ-A4UW-01,-0.7346,1.202,2.211,1.799,4.401,9.535,4.264,10.87,4.475,5.428,11.09,7.497,4.936,3.588,7.808,8.212,6.196,-5.574,2.945
GTEX-XOTO-0226-SM-4B66H,-0.2671,0.7999,4.189,-2.466,4.048,9.191,5.918,10.3,1.512,6.517,11.37,6.825,4.425,3.865,7.876,8.061,6.173,-0.1345,3.046
TARGET-21-PATKBK-41,1.872,-4.608,2.81,2.938,3.894,6.767,0.679,12.07,6.211,6.759,10.82,6.817,0.2029,1.774,6.837,8.426,5.684,-3.816,1.183
K-562-SM-4YCCQ,-9.966,-9.966,1.864,-9.966,5.687,8.74,-3.308,12.14,2.676,5.348,11.19,7.101,4.815,5.284,8.491,8.211,7.206,-1.056,-1.831
GTEX-1212Z-2726-SM-5EQ59,2.493,-2.114,1.258,-2.548,3.89,9.305,6.823,10.57,3.957,6.455,10.83,7.065,4.993,4.3,7.937,8.023,6.505,2.665,2.516
TCGA-LN-A9FR-01,-0.8339,0.8246,1.836,-1.47,5.098,8.266,5.528,12.1,3.854,6.558,11.16,7.621,5.436,3.952,7.557,7.88,6.859,1.938,3.641
TCGA-D8-A27R-01,-0.9132,4.148,0.9191,-1.214,5.759,8.198,4.195,12.22,2.909,6.141,11.91,8.241,4.876,4.753,8.238,8.6,7.188,1.105,2.067
TCGA-ZN-A9VW-01,0.058,-2.635,-0.3383,-6.506,5.11,9.048,5.248,12.21,3.144,5.935,11.65,7.509,4.567,4.667,7.861,8.151,5.946,-9.966,1.816
TCGA-EJ-5497-01,-6.506,2.331,2.692,1.975,5.071,8.768,5.863,10.6,2.96,5.921,11.24,7.254,5.251,4.223,7.836,8.024,6.974,0.2881,4.323
GTEX-YJ8O-1826-SM-5HL82,-2.932,-1.639,3.248,3.208,3.278,9.209,5.688,10.53,3.599,6.644,11.09,6.991,4.936,3.629,7.831,8.092,6.338,-1.639,3.018
TCGA-IQ-A61J-01,0.1257,0.517,1.177,-3.308,4.45,8.074,3.669,11.61,2.144,5.852,10.34,7.298,4.503,4.085,7.313,8.093,6.69,6.572,0.2277
TARGET-30-PALBFW-01,4.273,0.8164,2.029,-4.293,4.448,7.994,4.278,10.69,2.731,6.032,10.09,8.102,4.719,3.488,7.371,7.238,5.844,-0.6416,3.937
TARGET-10-PAPZST-04,-5.012,-9.966,-0.8339,-1.595,1.221,5.355,1.281,9.045,0.8883,3.643,9.894,3.87,2.797,-1.51,5.235,6.547,2.874,-3.458,-1.392
TCGA-AZ-6603-11,-0.9132,2.095,2.406,3.379,4.083,8.95,4.933,11.52,2.793,5.667,10.9,6.992,4.962,3.658,7.548,8.141,6.7,-4.608,1.975
TARGET-10-PAPZST-09,-3.308,-3.816,0.346,3.597,1.923,8.083,3.088,11.41,7.1,5.493,11.79,5.967,4.484,1.808,6.351,7.183,4.24,-9.966,3.562
GTEX-132QS-1126-SM-5P9GC,-3.626,-1.392,2.088,-2.548,4.36,9.041,4.689,10.26,1.758,6.082,10.87,7.351,4.765,4.034,7.49,7.276,6.335,-2.826,3.305
TCGA-E1-A7YH-01,4.213,1.036,0.2762,1.258,4.294,8.012,6.811,11.44,0.8568,5.747,11.02,7.869,4.733,4.421,7.794,7.295,5.886,1.774,1.571
TCGA-BC-A216-11,-5.574,0.6969,-1.831,-0.9971,3.682,6.652,4.537,9.794,0.03,3.356,9.212,5.6,2.731,1.727,6.434,6.745,5.41,-4.608,-0.4325
GTEX-13OVL-0011-R1a-SM-5L3H5,1.317,-1.595,1.714,2.526,3.375,7.934,3.418,10.47,1.125,4.151,9.395,6.326,4.141,3.346,6.425,6.661,4.934,0.9038,-0.6873
TCGA-MP-A4TI-01,-0.6193,-1.248,1.956,-1.781,4.715,8.269,4.088,12.77,4.076,6.033,11.35,7.444,4.75,4.823,7.687,8.177,6.997,-5.574,1.428
TCGA-CV-A461-01,-1.431,-3.047,0.044,-2.388,5.055,8.838,5.468,11.87,1.674,5.729,10.92,7.561,4.741,5.012,7.965,8.085,6.576,3.473,0.9568
TCGA-73-4675-01,-3.047,1.832,1.043,1.848,5.066,8.579,4.737,12.1,3.356,5.344,10.98,7.014,4.394,4.025,7.545,8.115,6.621,-2.548,1.647
TCGA-QG-A5YV-01,1.758,-4.035,0.1124,5.229,5.267,8.562,5.22,12.44,4.889,5.806,11.77,6.703,3.784,4.328,8.163,8.24,6.214,-4.293,1.334
GTEX-ZVZP-2626-SM-51MR4,1.876,-2.635,0.8327,-3.171,3.944,8.87,6.938,10.44,3.332,6.187,10.86,7.708,4.654,3.727,7.401,7.829,6.015,1.637,2.376
TCGA-DQ-5625-01,-1.994,1.986,-1.149,-3.458,4.362,7.714,3.896,11.86,0.7493,6.647,11.54,6.898,5.085,4.057,7.486,8.05,6.783,1.164,0.2998
TCGA-DJ-A3UW-01,-0.9686,0.4865,1.647,0.9191,3.776,8.884,2.671,10.47,4.099,4.948,10.59,6.635,4.553,3.096,7.179,7.555,5.885,-9.966,1.9
TCGA-06-5413-01,3.111,0.4967,1.288,4.599,5.126,9.19,3.923,12.09,2.812,5.6,10.66,7.196,4.451,4.542,8.321,7.552,7.183,1.47,0.1648
GTEX-1192X-2926-SM-5N9BA,-0.6416,-2.315,0.9862,-2.178,3.453,8.869,3.684,11.48,0.1257,5.626,10.56,6.84,4.3,4.349,7.397,7.913,6.83,9.637,0.3573
TARGET-10-PAPMVB-09,-3.308,-5.574,0.1776,-1.355,1.357,7.904,8.375,10.6,4.77,6.61,11.87,4.614,4.352,0.2642,7.329,6.797,4.256,-3.047,3.597
TCGA-LK-A4O7-01,2.787,-0.8863,-2.635,-4.293,5.065,8.915,4.845,11.24,1.623,6.027,11.73,7.302,3.672,4.455,7.478,8.42,5.695,-9.966,1.496
TCGA-2X-A9D6-01,5.93,3.671,7.108,6.921,4.839,8.08,6.115,11,4.661,5.421,11.51,7.621,4.456,6.078,8.113,7.939,7.016,2.342,0.7058
TCGA-KL-8329-11,0.2881,-1.248,3.634,4.645,4.057,8.496,4.282,11.26,2.308,5.568,10.25,7.343,5.241,3.636,7.324,8.281,6.608,-4.293,1.633
TCGA-ET-A2MZ-01,-1.51,-4.035,2.47,-5.574,4.132,9.638,2.852,10.66,3.76,5.488,11.07,7.646,5.637,4.469,7.611,8.372,6.673,-6.506,3.616
GTEX-ZQUD-0826-SM-57WDQ,0.3231,-0.5125,3.625,2.852,3.128,7.705,4.302,8.67,1.541,4.843,9.87,5.889,3.836,3.101,6.36,6.719,5.684,-3.047,0.537
GTEX-ZC5H-1626-SM-5HL7L,-2.466,0.1903,3.197,-0.4325,3.822,8.487,4.45,9.947,1.745,6.116,10.81,6.292,4.442,4.064,7.174,7.918,5.99,-0.4325,1.516
